"TankID","TreatCode","UrchinID","SpineAmp","BM.initial","BM.midpt","BM.endpt","BMChange.midpt","BMChange.endpt"
"1","Ambient","T1-C1a","Amp",4.75,5.23,5.34,0.101052631578947,0.124210526315789
"1","Ambient","T1-C1b","Amp",5.04,5.47,5.57,0.0853174603174603,0.10515873015873
"1","Ambient","T1-C2a","Amp",4.64,5.16,5.28,0.112068965517241,0.137931034482759
"1","Ambient","T1-C2b","Amp",4.76,5.56,5.6,0.168067226890756,0.176470588235294
"1","Ambient","T1-C3a","Amp",4.86,5.16,5.16,0.0617283950617284,0.0617283950617284
"1","Ambient","T1-C3b","Amp",5.98,6.49,6.65,0.0852842809364548,0.112040133779264
"1","Ambient","T1-C4a","Control",4.92,5.54,5.9,0.126016260162602,0.199186991869919
"1","Ambient","T1-C4b","Control",3.95,4.22,4.39,0.0683544303797467,0.111392405063291
"1","Ambient","T1-C5a","Control",6.03,6.47,6.69,0.0729684908789386,0.109452736318408
"1","Ambient","T1-C5b","Control",4.74,5.02,5.27,0.0590717299578058,0.111814345991561
"1","Ambient","T1-C6a","Control",6.69,7.08,7.53,0.0582959641255605,0.125560538116592
"1","Ambient","T1-C6b","Control",4.77,5.33,5.6,0.117400419287212,0.174004192872117
"2","Cyc3","T2-C1a","Amp",3.84,4.24,4.43,0.104166666666667,0.153645833333333
"2","Cyc3","T2-C1b","Amp",5.97,6.58,6.73,0.102177554438861,0.127303182579565
"2","Cyc3","T2-C2a","Amp",5.1,5.68,5.94,0.113725490196078,0.164705882352941
"2","Cyc3","T2-C2b","Amp",5.76,6.1,6.15,0.0590277777777778,0.0677083333333334
"2","Cyc3","T2-C3a","Amp",4.65,4.99,5.14,0.0731182795698924,0.105376344086021
"2","Cyc3","T2-C3b","Amp",5.58,5.88,5.81,0.053763440860215,0.0412186379928315
"2","Cyc3","T2-C4a","Control",5.34,5.94,6.09,0.112359550561798,0.140449438202247
"2","Cyc3","T2-C4b","Control",4.85,5.1,5.32,0.0515463917525773,0.0969072164948455
"2","Cyc3","T2-C5a","Control",4.41,4.8,4.97,0.0884353741496598,0.126984126984127
"2","Cyc3","T2-C5b","Control",5.38,5.96,6.35,0.107806691449814,0.180297397769517
"2","Cyc3","T2-C6a","Control",5.97,6.5,6.74,0.0887772194304858,0.128978224455611
"2","Cyc3","T2-C6b","Control",4.09,4.25,4.52,0.039119804400978,0.105134474327628
"3","Constant","T3-C1a","Amp",6.63,7.12,7.17,0.0739064856711916,0.081447963800905
"3","Constant","T3-C1b","Amp",6.32,6.61,6.66,0.0458860759493671,0.0537974683544304
"3","Constant","T3-C2a","Amp",4.99,5.02,5.18,0.00601202404809606,0.0380761523046091
"3","Constant","T3-C2b","Amp",5.2,5.6,5.79,0.0769230769230768,0.113461538461538
"3","Constant","T3-C3a","Amp",5.8,6.18,6.33,0.0655172413793103,0.0913793103448276
"3","Constant","T3-C3b","Amp",4.11,4.32,4.32,0.0510948905109489,0.0510948905109489
"3","Constant","T3-C4a","Control",5.51,5.88,6.11,0.0671506352087115,0.108892921960073
