"TankID","TreatCode","UrchinID","MeanLength"
"1","Ambient","T1-C1a",0.61
"1","Ambient","T1-C1b",0.585
"1","Ambient","T1-C2a",0.576666666666667
"1","Ambient","T1-C2b",0.526666666666667
"1","Ambient","T1-C3a",0.506666666666667
"1","Ambient","T1-C3b",0.783333333333333
"2","Cyc3","T2-C1a",0.44
"2","Cyc3","T2-C1b",0.47
"2","Cyc3","T2-C2a",0.385
"2","Cyc3","T2-C2b",0.515
"2","Cyc3","T2-C3a",0.395
"2","Cyc3","T2-C3b",0.526666666666667
"3","Constant","T3-C1a",0.33
"3","Constant","T3-C1b",0.385
"3","Constant","T3-C2a",0.435
"3","Constant","T3-C2b",0.195
"3","Constant","T3-C3a",0.34
"3","Constant","T3-C3b",0.43
"4","Cyc6","T4-C1a",0.34
"4","Cyc6","T4-C1b",0.4
"4","Cyc6","T4-C2a",0.485
"4","Cyc6","T4-C2b",0.445
"4","Cyc6","T4-C3a",0.35
"4","Cyc6","T4-C3b",0.423333333333333
"9","Ambient","T5-C1a",0.395
"9","Ambient","T5-C1b",0.466666666666667
"9","Ambient","T5-C2a",0.595
"9","Ambient","T5-C2b",0.63
"9","Ambient","T5-C3a",0.62
"9","Ambient","T5-C3b",0.53
"10","Cyc3","T6-C1a",0.27
"10","Cyc3","T6-C1b",0.485
"10","Cyc3","T6-C2a",0.346666666666667
"10","Cyc3","T6-C2b",0.583333333333333
"10","Cyc3","T6-C3a",0.376666666666667
"10","Cyc3","T6-C3b",0.54
"11","Constant","T7-C1a",0.266666666666667
"11","Constant","T7-C1b",0.243333333333333
"11","Constant","T7-C2a",0.343333333333333
"11","Constant","T7-C2b",0.376666666666667
"11","Constant","T7-C3a",0.5
"11","Constant","T7-C3b",0.513333333333333
"12","Cyc6","T8-C1a",0.383333333333333
"12","Cyc6","T8-C1b",0.513333333333333
"12","Cyc6","T8-C2a",0.496666666666667
"12","Cyc6","T8-C2b",0.4
"12","Cyc6","T8-C3a",0.516666666666667
"12","Cyc6","T8-C3b",0.353333333333333
