"TankID","TreatCode","UrchinID","SpineAmp","WM.initial","WM.midpt","WM.endpt","WMChange.midpt","WMChange.endpt"
"1","Ambient","T1-C1a","Amp",26.64,30.62,30.24,0.149399399399399,0.135135135135135
"1","Ambient","T1-C1b","Amp",23.63,30.42,31,0.287346593313585,0.311891663140076
"1","Ambient","T1-C2a","Amp",21.96,25.8,28.03,0.174863387978142,0.276411657559199
"1","Ambient","T1-C2b","Amp",26.14,29.49,31.3,0.128156082631982,0.197398622800306
"1","Ambient","T1-C3a","Amp",26.42,28.46,29.32,0.0772142316426949,0.109765329295988
"1","Ambient","T1-C3b","Amp",35.06,34.63,37.57,-0.0122646891043925,0.0715915573302909
"1","Ambient","T1-C4a","Control",26.97,29.99,32.75,0.111976269929551,0.21431219873934
"1","Ambient","T1-C4b","Control",21.86,23.16,24.54,0.0594693504117109,0.12259835315645
"1","Ambient","T1-C5a","Control",31.25,34.71,35.6,0.11072,0.1392
"1","Ambient","T1-C5b","Control",26.66,28.92,30.55,0.0847711927981996,0.145911477869467
"1","Ambient","T1-C6a","Control",35.09,39.19,41.04,0.116842405243659,0.169563978341408
"1","Ambient","T1-C6b","Control",27.68,30.61,32.07,0.105852601156069,0.158598265895954
"2","Cyc3","T2-C1a","Amp",21.66,26.08,26.92,0.204062788550323,0.242843951985226
"2","Cyc3","T2-C1b","Amp",32.56,40.26,41.39,0.236486486486486,0.271191646191646
"2","Cyc3","T2-C2a","Amp",25.8,32.42,34.39,0.256589147286822,0.332945736434109
"2","Cyc3","T2-C2b","Amp",30.28,33.13,35.17,0.0941215323645971,0.161492734478203
"2","Cyc3","T2-C3a","Amp",25.16,28.15,29.66,0.118839427662957,0.178855325914149
"2","Cyc3","T2-C3b","Amp",33.74,35.68,35.95,0.0574985180794309,0.0655008891523415
"2","Cyc3","T2-C4a","Control",26.75,30.08,30.8,0.124485981308411,0.151401869158879
"2","Cyc3","T2-C4b","Control",25.33,27.09,28.14,0.0694828266877221,0.110935649427556
"2","Cyc3","T2-C5a","Control",24.2,28.58,28.95,0.18099173553719,0.196280991735537
"2","Cyc3","T2-C5b","Control",28.73,35.82,28.36,0.246780368952315,-0.0128785241907414
"2","Cyc3","T2-C6a","Control",32.58,33.56,34.15,0.0300798035604667,0.0481890730509515
"2","Cyc3","T2-C6b","Control",22.6,25.78,27.13,0.14070796460177,0.200442477876106
"3","Constant","T3-C1a","Amp",35.92,40.47,41.32,0.126670378619154,0.150334075723831
"3","Constant","T3-C1b","Amp",34.47,37.31,38.37,0.0823904844792574,0.113141862489121
"3","Constant","T3-C2a","Amp",27.75,28.74,29.2,0.0356756756756756,0.0522522522522522
"3","Constant","T3-C2b","Amp",28.3,32.73,35.12,0.156537102473498,0.240989399293286
"3","Constant","T3-C3a","Amp",33.92,37.43,39.67,0.103478773584906,0.169516509433962
"3","Constant","T3-C3b","Amp",23.51,25.38,25.38,0.0795406210123351,0.0795406210123351
"3","Constant","T3-C4a","Control",29.21,32.82,33.98,0.123587812393016,0.163300239643957
"3","Constant","T3-C4b","Control",24.55,27.18,27.96,0.107128309572301,0.138900203665988
"3","Constant","T3-C5a","Control",25.73,29.13,30.61,0.132141469102215,0.18966187329965
"3","Constant","T3-C5b","Control",27.36,30.54,30.66,0.116228070175439,0.120614035087719
"3","Constant","T3-C6a","Control",27.78,30.37,31.43,0.0932325413966883,0.131389488840893
"3","Constant","T3-C6b","Control",29.56,30.88,31.8,0.0446549391069012,0.0757780784844385
"4","Cyc6","T4-C1a","Amp",26.47,29.86,30.26,0.128069512655837,0.14318095957688
"4","Cyc6","T4-C1b","Amp",23.62,24.96,26.6,0.056731583403895,0.126164267569856
"4","Cyc6","T4-C2a","Amp",23.31,27.19,28.84,0.166452166452167,0.237237237237237
"4","Cyc6","T4-C2b","Amp",27,28.82,29.8,0.0674074074074074,0.103703703703704
"4","Cyc6","T4-C3a","Amp",39.39,42.58,44.85,0.0809850215790809,0.138613861386139
"4","Cyc6","T4-C3b","Amp",33.13,32.41,36.33,-0.0217325686688803,0.0965891940839117
"4","Cyc6","T4-C4a","Control",26.03,28.47,29.09,0.0937379946215904,0.117556665386093
"4","Cyc6","T4-C4b","Control",25.33,26.58,28.17,0.0493485984998026,0.112120015791552
"4","Cyc6","T4-C5a","Control",26.42,29.7,31.71,0.124148372445117,0.200227100681302
"4","Cyc6","T4-C5b","Control",27.76,30.56,32.72,0.100864553314121,0.178674351585014
"4","Cyc6","T4-C6a","Control",22.82,24.99,25.74,0.0950920245398772,0.127957931638913
"4","Cyc6","T4-C6b","Control",31.94,37.77,40.7,0.182529743268629,0.274264245460238
"9","Ambient","T5-C1a","Amp",25.12,28.89,29.4,0.150079617834395,0.170382165605095
"9","Ambient","T5-C1b","Amp",37.39,38.89,40.57,0.0401176785236694,0.0850494784701792
"9","Ambient","T5-C2a","Amp",30.07,30.55,33.25,0.0159627535749917,0.10575324243432
"9","Ambient","T5-C2b","Amp",22.56,25.1,25.46,0.11258865248227,0.12854609929078
"9","Ambient","T5-C3a","Amp",28.41,29.63,30.12,0.0429426258359732,0.0601900739176347
"9","Ambient","T5-C3b","Amp",31.56,35.62,38.66,0.128643852978454,0.224968314321926
"9","Ambient","T5-C4a","Control",23.92,26.46,26.45,0.1061872909699,0.105769230769231
"9","Ambient","T5-C4b","Control",28.63,29.31,29.85,0.0237513098148795,0.0426126440796368
"9","Ambient","T5-C5a","Control",22.11,25.12,26.68,0.13613749434645,0.206693803708729
"9","Ambient","T5-C5b","Control",20.6,22.18,22.49,0.0766990291262135,0.0917475728155338
"9","Ambient","T5-C6a","Control",37.96,42.09,42.93,0.108798735511064,0.130927291886196
"9","Ambient","T5-C6b","Control",26.34,28.35,28.82,0.0763097949886105,0.0941533788914199
"10","Cyc3","T6-C1a","Amp",20.94,25.13,24.1,0.200095510983763,0.15090735434575
"10","Cyc3","T6-C1b","Amp",26.59,29.64,32.54,0.114704776231666,0.223768333960135
"10","Cyc3","T6-C2a","Amp",29.27,32.6,34.36,0.113768363512129,0.173898189272292
"10","Cyc3","T6-C2b","Amp",19.98,22.08,23.49,0.105105105105105,0.175675675675676
"10","Cyc3","T6-C3a","Amp",27.11,31.42,33.01,0.15898192548875,0.217631870158613
"10","Cyc3","T6-C3b","Amp",33.12,36.82,37.86,0.111714975845411,0.143115942028986
"10","Cyc3","T6-C4a","Control",36.42,39.51,40.77,0.0848434925864908,0.119439868204283
"10","Cyc3","T6-C4b","Control",26.16,29.44,29.34,0.125382262996942,0.121559633027523
"10","Cyc3","T6-C5a","Control",24.93,29.05,30.24,0.165262735659848,0.212996389891697
